1.323232323232323315e+00,1.443073977815279932e+03
2.373737373737373701e+00,1.779828148747385512e+03
8.878787878787878896e+00,1.171073792088650407e+04
8.555555555555555358e+00,1.096294178596679194e+04
2.858585858585859008e+00,3.494724975328934306e+03
3.060606060606060996e+00,3.076934703109438942e+03
5.000000000000000000e+00,3.449812301427973125e+03
3.989898989898990056e+00,3.227964081758717839e+03
4.717171717171718015e+00,4.152722122339604539e+03
2.212121212121211933e+00,2.282157266514218009e+03
3.101010101010101216e+00,2.534969004079638125e+03
7.464646464646465418e+00,6.618487754956825484e+03
4.515151515151515582e+00,3.672154153351821606e+03
2.656565656565656575e+00,3.639942621652056005e+03
7.626262626262626299e+00,6.824860826120186175e+03
2.939393939393939448e+00,2.070370092178918640e+03
7.141414141414141881e+00,6.191579405437350033e+03
3.747474747474747847e+00,3.859765993285859622e+03
5.646464646464646187e+00,4.177392957730947273e+03
7.868686868686868507e+00,8.232150361344811245e+03
3.585858585858586078e+00,3.788092592639980012e+03
8.191919191919192045e+00,8.870069324078378486e+03
5.808080808080807955e+00,3.562966325954404056e+03
1.000000000000000000e+00,1.078366652069409838e+03
6.737373737373737015e+00,5.550691497553604677e+03
5.929292929292929060e+00,4.129098232504151383e+03
9.000000000000000000e+00,1.219688365372766930e+04
4.757575757575757791e+00,4.544638034932118899e+03
7.747474747474747403e+00,8.291381723829346811e+03
4.676767676767676463e+00,4.080186621231382105e+03
2.252525252525252597e+00,2.521625300112412788e+03
1.484848484848484862e+00,1.614805043579787480e+03
5.686868686868686851e+00,3.913750166927032751e+03
5.767676767676768179e+00,5.246017605858847674e+03
3.949494949494949836e+00,4.106109068771669627e+03
6.777777777777777679e+00,5.161126375051736431e+03
8.070707070707070940e+00,9.698554344046497135e+03
4.474747474747474918e+00,3.837397819501816230e+03
4.797979797979798455e+00,4.253543243680213891e+03
5.848484848484848619e+00,3.192289818573757202e+03
8.030303030303031164e+00,8.072620599557676542e+03
1.565656565656565746e+00,2.122814081383021403e+03
7.545454545454545858e+00,7.299286409923799511e+03
5.565656565656565746e+00,4.147062532255998121e+03
1.606060606060605966e+00,2.693320088379907247e+03
1.888888888888888840e+00,2.862980304513796909e+03
8.515151515151515582e+00,1.036596823752695491e+04
5.888888888888889284e+00,4.868403869158999441e+03
4.191919191919192045e+00,3.218546566306835302e+03
1.242424242424242431e+00,1.012840673121595728e+03
2.616161616161616355e+00,2.952776384928454263e+03
